Years;Composite CE Index;Equipment;Construction Labor;Buildings;Engineering & Supervision
1963;102,4;100,5;107,2;102,1;103,4
1964;103,3;101,2;108,5;103,3;104,2
1965;104,2;102,1;109,7;104,5;104,8
1966;107,2;105,3;112,4;107,9;106,8
1967;109,7;107,7;115,8;110,3;108,6
1968;113,7;109,9;121,0;115,7;108,6
1969;119,0;116,6;128,3;122,5;109,9
1970;125,7;123,8;137,3;127,2;110,6
1971;132,3;130,4;146,2;135,5;111,4
1972;137,2;135,4;152,2;142,0;111,9
1973;144,1;141,8;157,9;150,9;122,8
1974;165,4;171,2;163,3;165,8;134,4
1975;182,4;194,7;168,6;177,0;141,8
1976;192,1;205,8;174,2;187,3;150,8
1977;204,1;220,9;178,2;199,1;162,1
1978;218,8;240,3;185,9;213,7;161,9
1979;238,7;264,7;194,9;228,4;185,9
1980;261,2;292,6;204,3;238,3;214,0
1981;297,0;323,9;242,4;274,9;268,5
1982;314,0;336,2;263,9;290,1;304,9
1983;317,0;336,0;267,6;295,6;323,3
1984;322,7;344,0;264,5;300,3;336,3
1985;325,3;347,2;265,3;304,4;338,9
1986;318,4;336,3;263,0;303,9;341,2
1987;323,8;343,9;262,6;309,1;346,0
1988;342,5;372,7;265,6;319,2;343,3
1989;355,4;391,0;270,4;327,6;344,8
1990;357,6;392,2;271,4;329,5;355,9
1991;361,3;396,9;274,8;332,9;354,5
1992;358,2;392,2;273,0;334,6;354,1
1993;359,2;391,3;270,9;341,6;352,3
1994;368,1;406,9;272,9;353,8;351,1
1995;381,1;427,3;274,3;362,4;347,6
1996;381,7;427,4;277,5;365,1;344,2
1997;386,5;433,2;281,9;371,4;342,5
1998;389,5;436,0;287,4;374,2;341,2
1999;390,6;435,5;292,5;380,2;339,9
2000;394,1;438,0;299,2;385,6;340,6
