Composite CE Index;Equipment;Construction Labor;Buildings;Engineering & Supervision
102.4;100.5;107.2;102.1;103.4
103.3;101.2;108.5;103.3;104.2
104.2;102.1;109.7;104.5;104.8
107.2;105.3;112.4;107.9;106.8
109.7;107.7;115.8;110.3;108.6
113.7;109.9;121.0;115.7;108.6
119.0;116.6;128.3;122.5;109.9
125.7;123.8;137.3;127.2;110.6
132.3;130.4;146.2;135.5;111.4
137.2;135.4;152.2;142.0;111.9
144.1;141.8;157.9;150.9;122.8
165.4;171.2;163.3;165.8;134.4
182.4;194.7;168.6;177.0;141.8
192.1;205.8;174.2;187.3;150.8
204.1;220.9;178.2;199.1;162.1
218.8;240.3;185.9;213.7;161.9
238.7;264.7;194.9;228.4;185.9
261.2;292.6;204.3;238.3;214.0
297.0;323.9;242.4;274.9;268.5
314.0;336.2;263.9;290.1;304.9
317.0;336.0;267.6;295.6;323.3
322.7;344.0;264.5;300.3;336.3
325.3;347.2;265.3;304.4;338.9
318.4;336.3;263.0;303.9;341.2
323.8;343.9;262.6;309.1;346.0
342.5;372.7;265.6;319.2;343.3
355.4;391.0;270.4;327.6;344.8
357.6;392.2;271.4;329.5;355.9
361.3;396.9;274.8;332.9;354.5
358.2;392.2;273.0;334.6;354.1
359.2;391.3;270.9;341.6;352.3
368.1;406.9;272.9;353.8;351.1
381.1;427.3;274.3;362.4;347.6
381.7;427.4;277.5;365.1;344.2
386.5;433.2;281.9;371.4;342.5
389.5;436.0;287.4;374.2;341.2
390.6;435.5;292.5;380.2;339.9
394.1;438.0;299.2;385.6;340.6
